transactionDate,net_buys
2003-01-01,156
2003-01-02,163
2003-01-03,77
2003-01-04,0
2003-01-05,8
2003-01-06,36
2003-01-07,58
2003-01-08,51
2003-01-09,17
2003-01-10,64
2003-01-11,4
2003-01-12,-1
2003-01-13,42
2003-01-14,30
2003-01-15,108
2003-01-16,42
2003-01-17,101
2003-01-19,0
2003-01-20,16
2003-01-21,57
2003-01-22,37
2003-01-23,69
2003-01-24,74
2003-01-25,-2
2003-01-26,-4
2003-01-27,61
2003-01-28,21
2003-01-29,69
2003-01-30,53
2003-01-31,204
2003-02-01,18
2003-02-02,-4
2003-02-03,70
2003-02-04,31
2003-02-05,49
2003-02-06,127
2003-02-07,59
2003-02-09,-6
2003-02-10,40
2003-02-11,72
2003-02-12,106
2003-02-13,48
2003-02-14,212
2003-02-15,4
2003-02-16,0
2003-02-17,2
2003-02-18,124
2003-02-19,75
2003-02-20,75
2003-02-21,80
2003-02-22,2
2003-02-23,-2
2003-02-24,96
2003-02-25,73
2003-02-26,71
2003-02-27,86
2003-02-28,153
2003-03-01,24
2003-03-03,70
2003-03-04,78
2003-03-05,62
2003-03-06,40
2003-03-07,97
2003-03-08,-6
2003-03-10,152
2003-03-11,99
2003-03-12,53
2003-03-13,82
2003-03-14,38
2003-03-15,12
2003-03-16,-2
2003-03-17,67
2003-03-18,42
2003-03-19,44
2003-03-20,75
2003-03-21,66
2003-03-22,20
2003-03-23,2
2003-03-24,34
2003-03-25,111
2003-03-26,56
2003-03-27,71
2003-03-28,46
2003-03-29,-6
2003-03-30,10
2003-03-31,505
2003-04-01,161
2003-04-02,66
2003-04-03,77
2003-04-04,88
2003-04-05,-6
2003-04-06,2
2003-04-07,86
2003-04-08,96
2003-04-09,53
2003-04-10,79
2003-04-11,55
2003-04-12,-4
2003-04-14,123
2003-04-15,79
2003-04-16,62
2003-04-17,49
2003-04-18,16
2003-04-19,2
2003-04-20,-6
2003-04-21,27
2003-04-22,67
2003-04-23,56
2003-04-24,55
2003-04-25,69
