DATE,IPB50001SQ
1919-01-01,4.6773
1919-04-01,4.7131
1919-07-01,5.2328
1919-10-01,5.1073
1920-01-01,5.5822
1920-04-01,5.3224
1920-07-01,5.2238
1920-10-01,4.5339
1921-01-01,3.8887
1921-04-01,3.8529
1921-07-01,3.9425
1921-10-01,4.2024
1922-01-01,4.5339
1922-04-01,4.8385
1922-07-01,5.0984
1922-10-01,5.7525
1923-01-01,5.9227
1923-04-01,6.2453
1923-07-01,6.0661
1923-10-01,5.869
1924-01-01,5.9496
1924-04-01,5.4837
1924-07-01,5.3493
1924-10-01,5.7973
1925-01-01,6.1288
1925-04-01,6.1467
1925-07-01,6.1647
1925-10-01,6.4335
1926-01-01,6.4514
1926-04-01,6.4962
1926-07-01,6.6485
1926-10-01,6.7202
1927-01-01,6.7291
1927-04-01,6.6664
1927-07-01,6.5499
1927-10-01,6.3528
1928-01-01,6.5589
1928-04-01,6.6575
1928-07-01,6.9084
1928-10-01,7.2578
1929-01-01,7.4908
1929-04-01,7.7417
1929-07-01,7.8581
1929-10-01,7.3026
1930-01-01,6.9084
1930-04-01,6.6395
1930-07-01,6.0571
1930-10-01,5.645
1931-01-01,5.5374
1931-04-01,5.5464
1931-07-01,5.1432
1931-10-01,4.6862
1932-01-01,4.4264
1932-04-01,3.9246
1932-07-01,3.835
1932-10-01,4.1396
1933-01-01,3.9425
1933-04-01,4.7489
1933-07-01,5.6987
1933-10-01,4.9461
1934-01-01,5.2686
1934-04-01,5.5464
1934-07-01,4.9998
1934-10-01,5.1432
1935-01-01,5.869
1935-04-01,5.8062
1935-07-01,6.0571
1935-10-01,6.541
1936-01-01,6.4514
1936-04-01,6.989
1936-07-01,7.3743
1936-10-01,7.8313
1937-01-01,8.1717
1937-04-01,8.3151
1937-07-01,8.1807
1937-10-01,6.7112
1938-01-01,5.9048
1938-04-01,5.7077
1938-07-01,6.2991
1938-10-01,6.8994
1939-01-01,7.0876
1939-04-01,7.1324
1939-07-01,7.67
1939-10-01,8.557
1940-01-01,8.2793
1940-04-01,8.4764
1940-07-01,8.9423
1940-10-01,9.471
1941-01-01,10.3043
1941-04-01,10.9942
1941-07-01,11.4333
1941-10-01,11.6842
1942-01-01,12.2576
1942-04-01,12.0963
1942-07-01,12.7684
1942-10-01,13.8436
1943-01-01,14.5873
1943-04-01,15.0174
1943-07-01,15.8059
1943-10-01,16.4958
1944-01-01,16.6929
1944-04-01,16.6302
1944-07-01,16.6392
1944-10-01,16.5854
1945-01-01,16.2718
1945-04-01,15.4833
1945-07-01,13.3418
1945-10-01,11.8634
1946-01-01,11.3706
1946-04-01,11.6663
1946-07-01,12.7773
1946-10-01,13.4135
1947-01-01,13.7361
1947-04-01,13.745
1947-07-01,13.7719
1947-10-01,14.1482
1948-01-01,14.2916
1948-04-01,14.4439
1948-07-01,14.5783
1948-10-01,14.426
1949-01-01,13.9601
1949-04-01,13.521
1949-07-01,13.5479
1949-10-01,13.4852
1950-01-01,14.193
1950-04-01,15.3847
1950-07-01,16.6213
1950-10-01,16.908
1951-01-01,17.2485
1951-04-01,17.3023
1951-07-01,16.8901
1951-10-01,17.0066
1952-01-01,17.4008
1952-04-01,17.1499
1952-07-01,17.6517
1952-10-01,18.9151
1953-01-01,19.2914
1953-04-01,19.5602
1953-07-01,19.5782
1953-10-01,18.6552
1954-01-01,18.0639
1954-04-01,17.9922
1954-07-01,18.0818
1954-10-01,18.5836
1955-01-01,19.5871
1955-04-01,20.4383
1955-07-01,20.7519
1955-10-01,21.2448
1956-01-01,21.3254
1956-04-01,21.2358
1956-07-01,21.1193
1956-10-01,21.8899
1957-01-01,22.096
1957-04-01,21.8182
1957-07-01,21.8989
1957-10-01,20.9759
1958-01-01,19.7932
1958-04-01,19.4617
1958-07-01,20.4921
1958-10-01,21.415
1959-01-01,22.3558
1959-04-01,23.44
1959-07-01,22.4813
1959-10-01,22.5888
1960-01-01,23.9508
1960-04-01,23.4311
1960-07-01,23.0458
1960-10-01,22.4902
1961-01-01,22.1497
1961-04-01,23.0279
1961-07-01,23.7626
1961-10-01,24.5959
1962-01-01,24.9633
1962-04-01,25.2052
1962-07-01,25.474
1962-10-01,25.689
1963-01-01,26.164
1963-04-01,26.8539
1963-07-01,27.0331
1963-10-01,27.4901
1964-01-01,27.8664
1964-04-01,28.5205
1964-07-01,28.9775
1964-10-01,29.4165
1965-01-01,30.5276
1965-04-01,31.2354
1965-07-01,31.8895
1965-10-01,32.5347
1966-01-01,33.4666
1966-04-01,34.1654
1966-07-01,34.6941
1966-10-01,35.0256
1967-01-01,34.8326
1967-04-01,34.6907
1967-07-01,34.9293
1967-10-01,35.8639
1968-01-01,36.3759
1968-04-01,36.8663
1968-07-01,37.1524
1968-10-01,37.7166
1969-01-01,38.4503
1969-04-01,38.6181
1969-07-01,39.0816
